controller,joint,angle_deg,max_abs_error_rad_cmd_joint,final_abs_error_rad_cmd_joint,rms_error_rad_cmd_joint,max_abs_tau_nm_cmd_joint,all_joint_max_abs_error_rad,all_joint_max_abs_tau_nm,csv
computed_torque_baseline,2,5.0,0.08726701009397973,5.777917113647391e-07,0.059348509996331414,3.841808613385833,0.08726701009397973,7.404518451189051,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j2_pos5.csv
computed_torque_baseline,3,-10.0,0.17408510130702,0.0013505544313261453,0.11873273149321835,7.513858894762821,0.17408510130702,7.513858894762821,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j3_neg10.csv
computed_torque_baseline,3,-30.0,0.5231484654313038,0.0013276343732107065,0.35610134496255136,7.739886870269984,0.5231484654313038,7.739886870269984,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j3_neg30.csv
computed_torque_baseline,3,-5.0,0.08684181143403608,0.001296713035996433,0.05928235455822353,7.455284004396033,0.08684181143403608,7.455284004396033,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j3_neg5.csv
computed_torque_baseline,4,-10.0,0.17436233262081816,0.0005237875374355383,0.1207122324141155,2.1646997962924077,0.17436233262081816,7.437376864306303,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg10.csv
computed_torque_baseline,4,-30.0,0.5234143423971647,0.0005194097214520355,0.36794037573084604,2.1926625208207637,0.5234143423971647,7.5092465373108075,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg30.csv
computed_torque_baseline,4,-5.0,0.08709415622711122,0.0005294271554507901,0.06013980072965997,2.157869652412195,0.08709415622711122,7.418807708940619,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg5.csv
computed_torque_baseline,5,-10.0,0.17438319051441073,0.00045465858156745753,0.11935991878815927,0.0019590751908714066,0.17438319051441073,7.400859296812946,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j5_neg10.csv
computed_torque_baseline,5,-30.0,0.5234478695264609,0.0004558226030217938,0.35570725360472916,0.0074706234186862975,0.5234478695264609,7.398473186323274,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j5_neg30.csv
computed_torque_baseline,5,-5.0,0.08712715307292866,0.0004283107657512275,0.0600626884522151,0.0016963452982220724,0.08712715307292866,7.402345114942335,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j5_neg5.csv
computed_torque_baseline,5,10.0,0.1747768384511258,0.0004461169511902341,0.12236313241684917,0.004220030661352361,0.1747768384511258,7.397266905657171,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j5_pos10.csv
computed_torque_baseline,5,30.0,0.5238500873098832,0.00048197206967337536,0.36000242669305654,0.010117875824329443,0.5238500873098832,7.3963655267880055,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j5_pos30.csv
computed_torque_baseline,5,5.0,0.08750809468287209,0.0004495441514773546,0.06043384650659085,0.002773126239779252,0.08750809468287209,7.398460783404425,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j5_pos5.csv
computed_torque_baseline,6,-10.0,0.17469713733498465,0.00030394909587538876,0.12149714243128491,0.004781783637833935,0.17469713733498465,7.403394360074372,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j6_neg10.csv
computed_torque_baseline,6,-30.0,0.5237602770107425,0.0003049429084391875,0.35916852719881115,0.00689784493544551,0.5237602770107425,7.403018703692778,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j6_neg30.csv
computed_torque_baseline,6,-5.0,0.08742843817225286,0.00030128743009338876,0.059395406993215716,0.004247230380901907,0.08742843817225286,7.400874259413231,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j6_neg5.csv
computed_torque_baseline,6,10.0,0.17442992747987746,0.00031669600907413553,0.11946678433360367,0.003958839930843106,0.17442992747987746,7.402225115347299,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j6_pos10.csv
computed_torque_baseline,6,30.0,0.5234943076039661,0.00031779731135284095,0.36127461505522757,0.004379621793827343,0.5234943076039661,7.402794616545994,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j6_pos30.csv
computed_torque_baseline,6,5.0,0.08716459529609095,0.0003125959016250235,0.06000380998363006,0.0038480259855808367,0.08716459529609095,7.40288260650349,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j6_pos5.csv
cpid_fric2p5,1,10.0,0.010100756997394461,0.0019667379853487432,0.0036408408420919476,1.0904846503073915,0.010100756997394461,7.410418724628735,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j1_pos10.csv
