source,controller,controller_label,joint,angle_deg,case,file,phase_counts,tracking_phase_definition,tracking_samples,tracking_duration_s,tracking_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,cmd_joint_signed_final_error_deg,cmd_joint_final_abs_error_deg,cmd_joint_max_abs_error_deg,cmd_joint_rms_error_deg,cmd_joint_final_abs_error_rad,cmd_joint_max_abs_error_rad,cmd_joint_rms_error_rad,cmd_joint_max_abs_torque_nm,all_joint_max_abs_error_deg,all_joint_rms_error_deg,all_joint_max_abs_error_rad,all_joint_rms_error_rad,all_joint_max_abs_torque_nm,torque_measure_prefix,sdk_feedforward_cmd_joint_max_abs_torque_nm,sdk_feedforward_all_joint_max_abs_torque_nm,return_present,return_samples,return_duration_s,return_final_cmd_abs_error_deg,return_final_all_joint_max_abs_error_deg,return_desired_back_to_start_deg,return_completed_successfully
sim,augpd_fric2p5,AugPD friction,2,5.0,J2 +5 deg,augpd_fric2p5_j2_pos5.csv,outbound:3351;return:2902,outbound+outbound_hold,3351,7.998492530999783,418.95394501057774,5.0,4.921464849056132,98.42929698112265,0.07853515094625926,0.07853515094625926,0.18717892460260888,0.11051353988740256,0.0013706969625629645,0.0032668885246577434,0.0019288251390692582,6.650717662128104,0.18717892460260888,0.04588325054427183,0.0032668885246577434,0.0008008137935150236,7.516863397876931,tau_total,nan,nan,True,2902,6.997084905000065,3.468824366973487e-05,0.04310695006686199,0.0,True
sim,computed_torque_baseline,Computed torque baseline,2,5.0,J2 +5 deg,computed_torque_baseline_j2_pos5.csv,outbound:3040;return:2667,outbound+outbound_hold,3040,7.996194686999843,380.18083838584005,5.0,-2.784652404755763e-05,-0.0005569304809511527,5.000029056821131,5.000029056821131,5.000031369110593,3.9458927713243086,0.08726696973691538,0.08726701009397973,0.06886882079025287,3.841808613385833,5.000031369110593,1.6109446166741328,0.08726701009397973,0.02811628762824156,7.404518451189051,tau_total,nan,nan,True,2667,6.996198726000102,3.310502649884059e-05,0.07970385654364606,0.0,True
sim,cpid_fric2p5,CPID friction,2,5.0,J2 +5 deg,cpid_fric2p5_j2_pos5.csv,outbound:3185;return:2717,outbound+outbound_hold,3185,7.999206006000122,398.16451752973535,5.0,4.9041836208101035,98.08367241620206,0.0958151587503041,0.0958151587503041,0.21757946837194309,0.1136551319543989,0.0016722899935138619,0.0037974781078292733,0.0019836562643928786,6.376988006770315,0.21757946837194309,0.04883797877990828,0.0037974781078292733,0.0008523835297285226,7.521627693458445,tau_total,nan,nan,True,2717,6.995279130999961,2.2307097027776455,2.2307097027776455,0.0,False
sdk,sdk_lowcmd,Unitree SDK LOWCMD,2,5.0,J2 +5 deg,sdk_lowcmd/workspace_j2_pos5deg_sdk_lowcmd.csv,outbound:1224;outbound_hold:699;return:1749,outbound+outbound_hold,1923,7.999240433000068,240.39782478181996,5.0,4.896184942299908,97.92369884599816,0.10381494574131,0.10381494574131,0.1575759450181302,0.10892557349871994,0.001811912615965125,0.0027502190625079276,0.0019011098971757423,5.404542446136475,0.1575759450181302,0.05567717490970447,0.0027502190625079276,0.0009717500203831195,7.3687944412231445,tau_state,3.804854679546294,7.485327922728432,True,1749,6.99429249700006,9.700836302868451e-07,0.19699738325856558,0.0,True
sim,augpd_nofric,AugPD no friction,2,10.0,J2 +10 deg,augpd_nofric_j2_pos10.csv,outbound:3279;return:2876,outbound+outbound_hold,3279,7.998446530000024,409.95460652282316,10.0,6.862769181271834,68.62769181271834,3.1372306430947297,3.1372306430947297,3.646675221155425,2.8975020966802654,0.05475500411646214,0.06364648936005454,0.05057095167050969,5.290836900214253,3.646675221155425,1.1829534205410184,0.06364648936005454,0.02064643208616989,7.522123851315621,tau_total,nan,nan,True,2876,6.998489317999997,5.02338702602989,5.02338702602989,0.0,False
sim,augpd_fric2p5,AugPD friction,2,10.0,J2 +10 deg,augpd_fric2p5_j2_pos10.csv,outbound:3307;return:2856,outbound+outbound_hold,3307,7.998247895000077,413.46555438314135,10.0,9.904700664412482,99.04700664412483,0.09530054518472571,0.09530054518472571,0.19416924755823461,0.10940580763163679,0.0016633082924190912,0.0033888926760111543,0.0019094915639756016,6.955976684748864,0.19416924755823461,0.045589903845984894,0.0033888926760111543,0.0007956939277800622,7.57601523633972,tau_total,nan,nan,True,2856,6.997342180000032,3.582417434688745e-05,0.04446430819202349,0.0,True
sim,computed_torque_baseline,Computed torque baseline,2,10.0,J2 +10 deg,computed_torque_baseline_j2_pos10.csv,outbound:2891;return:2402,outbound+outbound_hold,2891,7.998459570000023,361.44459751266726,10.0,-2.5144573229673508e-05,-0.00025144573229673507,10.000026352551663,10.000026352551663,10.000026354361424,7.9182535880545,0.17453338513822578,0.17453338516981207,0.13819959611940577,3.884472499831283,10.000026354361424,3.232632589027777,0.17453338516981207,0.056420082185803425,7.409536574690641,tau_total,nan,nan,True,2402,6.994624897999984,3.039527024354603e-05,0.07539284996710072,0.0,True
sim,cpid_fric2p5,CPID friction,2,10.0,J2 +10 deg,cpid_fric2p5_j2_pos10.csv,outbound:3122;return:2719,outbound+outbound_hold,3122,7.998337345999971,390.3311232004156,10.0,9.91407655481721,99.1407655481721,0.08592344518502905,0.08592344518502905,0.2229180656210954,0.11326818571889254,0.0014996470231356251,0.003890654207264893,0.001976902778555095,6.471035654060626,0.2229180656210954,0.04765788496050824,0.003890654207264893,0.0008317870070975565,7.578370869424492,tau_total,nan,nan,True,2719,6.99720715400008,2.60161481774693,2.60161481774693,0.0,False
sdk,sdk_lowcmd,Unitree SDK LOWCMD,2,10.0,J2 +10 deg,sdk_lowcmd/workspace_j2_pos10deg_sdk_lowcmd.csv,outbound:1282;outbound_hold:754;return:1716,outbound+outbound_hold,2036,7.998666350999883,254.5424337827877,10.0,9.895768198428195,98.95768198428195,0.10423174372947402,0.10423174372947402,0.22199782419156344,0.12446552015780679,0.0018191871131742754,0.003874592964406301,0.0021723331319611007,5.620362281799316,0.22199782419156344,0.060616227749236876,0.003874592964406301,0.0010579527543629352,7.367059707641602,tau_state,3.806840928956905,7.540132529116306,True,1716,6.999038752999695,5.839209346357565e-07,0.19492121919429325,0.0,True
sim,augpd_nofric,AugPD no friction,2,30.0,J2 +30 deg,augpd_nofric_j2_pos30.csv,outbound:3272;return:2923,outbound+outbound_hold,3272,7.997692884000003,409.11798533123056,29.999999999999996,26.709905179854744,89.03301726618248,3.2900945313524677,3.2900945313524677,4.83282535707329,3.478048819595135,0.057422982273960366,0.08434871465479954,0.060703403447037375,5.4807951691699905,4.83282535707329,1.419952506213215,0.08434871465479954,0.02478284645536584,7.555558336093845,tau_total,nan,nan,True,2923,6.9980235539999285,7.069686209313726,7.069686209313726,0.0,False
