source,controller,joint,angle_deg,outbound_samples,outbound_duration_s,outbound_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,final_error_deg,max_abs_error_deg,rms_error_deg,max_abs_tau_cmd_joint,max_abs_tau_state_joint,max_abs_dq_actual_joint,q_des_prefix,tau_cmd_prefix,tau_state_prefix,file
sim,cpid_fric2p5,3,-5.0,3187,7.998762096999826,398.4366532410533,-5.0,-3.7338499863393184,74.67699972678636,-1.2661790010562581,1.5122230543049633,1.24068397095933,9.090203655863201,nan,0.04525997609828814,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j3_neg5.csv
sdk,sdk_lowcmd,4,-30.0,1291,4.99983750399997,258.20839156616074,-30.000000000000213,-29.82943948530661,99.43146495102134,-0.17055368450443117,0.5208709570540949,0.2960252610680449,2.135346953119014,4.788595676422119,0.29041385650634766,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j4_neg30deg_sdk_lowcmd.csv
sim,augpd_fric2p5,4,-30.0,2998,7.999800300999823,374.75935488355964,-29.999999999999996,-29.886041154929213,99.62013718309738,-0.11395888973330395,1.2143811341758395,0.6054226777222376,3.9984985171125556,nan,0.27600402664438617,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg30.csv
sim,augpd_nofric,4,-30.0,3309,7.999702382999999,413.6403883014307,-29.999999999999996,-24.041296066009043,80.13765355336349,-5.958698888372696,7.54672880732055,5.8153704869594645,4.021365767084545,nan,0.25750164805115944,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j4_neg30.csv
sim,computed_torque_baseline,4,-30.0,2760,7.997455788000025,345.10975404719443,-29.999999999999996,-0.016202835911746608,0.054009453039155365,-29.98380006276233,29.989432755972924,24.000665006834204,2.1926625208207637,nan,5.5921039828593286e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg30.csv
sim,cpid_fric2p5,4,-30.0,2954,7.998201480000034,369.33303160549883,-29.999999999999996,-29.90041902087734,99.66806340292446,-0.09958377972339215,5.121720933429099,2.4578028719100127,4.009757841826049,nan,0.2913949851844514,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j4_neg30.csv
sdk,sdk_lowcmd,4,-10.0,1245,4.999838023999928,249.00806666612485,-10.0,-9.820336705617613,98.20336705617613,-0.17966841702426414,0.2843699063996542,0.2048213338437528,2.1346288555427084,3.975531578063965,0.095875583589077,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j4_neg10deg_sdk_lowcmd.csv
sim,augpd_fric2p5,4,-10.0,3202,7.999063025999931,400.2968834715152,-10.0,-9.585271971061426,95.85271971061427,-0.4147245789001755,0.7176723323702185,0.4890178883252129,3.862079920526079,nan,0.09000520504434763,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg10.csv
sim,augpd_nofric,4,-10.0,3298,7.998133411000026,412.3462101124971,-10.0,-3.8047642336954794,38.047642336954794,-6.195255171972513,6.5403543368200685,5.309006747711685,3.8507404719082956,nan,0.062474525313213056,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j4_neg10.csv
sim,computed_torque_baseline,4,-10.0,2868,7.999023244999989,358.5437761782631,-10.0,-0.015793899746431764,0.15793899746431767,-9.984208199786668,9.990225765229118,7.950635019233582,2.1646997962924077,nan,7.433882556919002e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg10.csv
sim,cpid_fric2p5,4,-10.0,2952,7.9992237139999816,369.0358096665687,-10.0,-9.35758242224849,93.5758242224849,-0.6424217927722382,3.6415115247110856,2.138691114946447,3.856964817203814,nan,0.08385038704033256,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j4_neg10.csv
sdk,sdk_lowcmd,4,-5.0,1257,4.999843547000182,251.40786670298468,-5.0000000000000355,-4.819386174116051,96.38772348232034,-0.18064968437712678,0.23776853500416195,0.1837634058742061,2.134835895324059,3.8784961700439453,0.049271635711193085,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j4_neg5deg_sdk_lowcmd.csv
sim,augpd_fric2p5,4,-5.0,3321,7.998946154999885,415.1796918803047,-5.000000000000001,-4.546317541268362,90.92635082536722,-0.4536853470155836,0.5888946800428297,0.4652021128277922,3.8260879645971944,nan,0.04385350085712009,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg5.csv
sim,augpd_nofric,4,-5.0,3332,7.998369156999956,416.5849230757152,-5.0,0.007446495949974996,-0.14892991899949992,-5.0074566767562025,5.0074566767562025,3.961460609161181,3.466335581253789,nan,0.0016013297645664612,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j4_neg5.csv
sim,computed_torque_baseline,4,-5.0,2804,7.998415987000044,350.5694133135095,-5.000000000000001,-0.016065020051526126,0.3213004010305225,-4.983937919072949,4.990127572066511,3.980203598559922,2.157869652412195,nan,5.628904303955348e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j4_neg5.csv
sim,cpid_fric2p5,4,-5.0,2961,7.99816579000003,370.20988033307435,-5.000000000000001,-3.953762903844354,79.07525807688707,-1.046239455726674,3.3140514150658285,2.0908190933211515,3.8114694401246005,nan,0.34417335019354955,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j4_neg5.csv
sdk,sdk_lowcmd,5,-30.0,1198,4.99981488200001,239.60887118300266,-29.99999999999978,-29.85690324907241,99.5230108302421,-0.14309675092737048,0.5980523654999981,0.3196860829561758,0.04596072715988294,1.9773154258728027,0.2978523075580597,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j5_neg30deg_sdk_lowcmd.csv
sim,augpd_fric2p5,5,-30.0,2917,7.99933274,364.6554149965263,-29.999999999999996,-30.092916499216848,100.30972166405617,0.09291676889532005,1.023610108953202,0.4550786156095319,1.2594818498185394,nan,0.2758254716868616,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_neg30.csv
